rownames,nr,year,school,exper,union,ethn,maried,health,wage,industry,occupation,residence,age,exper level,school level,wage level
37,110,1984,12,9,no,other,yes,no,2.1349542516,trade,"professional, technical and kindred",north east,27,advanced,intermediate,high
38,110,1985,12,10,no,other,yes,no,2.1258228201,business and repair service,"professional, technical and kindred",north east,28,advanced,intermediate,high
39,110,1986,12,11,no,other,yes,no,1.9910166714,finance,clerical and kindred,north east,29,advanced,intermediate,medium
40,110,1987,12,12,no,other,yes,no,2.1123933529,finance,clerical and kindred,north east,30,advanced,intermediate,high
41,120,1980,10,2,no,other,no,no,0.2585548628,trade,service workers,north east,18,beginner,intermediate,medium
42,120,1981,10,3,no,other,no,no,1.3199717182,trade,service workers,north east,19,beginner,intermediate,medium
43,120,1982,10,4,no,other,no,no,1.4620852871,trade,service workers,north east,20,intermediate,intermediate,medium
44,120,1983,10,5,no,other,no,no,1.3202869194,trade,service workers,north east,21,intermediate,intermediate,medium
45,120,1984,10,6,no,other,no,no,1.7036465563,entertainment,service workers,north east,22,intermediate,intermediate,medium
46,120,1985,10,7,no,other,no,no,1.4458032056,trade,service workers,north east,23,intermediate,intermediate,medium
47,120,1986,10,8,no,other,no,no,1.8063640995,finance,clerical and kindred,north east,24,intermediate,intermediate,medium
48,120,1987,10,9,no,other,no,no,2.1481201768,business and repair service,clerical and kindred,north east,25,advanced,intermediate,high
49,126,1980,13,2,no,other,no,no,1.7372854886,trade,sales workers,north east,21,beginner,high,medium
50,126,1981,13,3,no,other,no,no,1.9896008377,trade,"managers, officials and proprietors",north east,22,beginner,high,medium
51,126,1982,13,4,no,other,no,no,2.189916837,trade,"managers, officials and proprietors",north east,23,intermediate,high,high
52,126,1983,13,5,no,other,no,no,1.8554632169,trade,sales workers,north east,24,intermediate,high,medium
53,126,1984,13,6,no,other,no,no,1.9224377929,trade,sales workers,north east,25,intermediate,high,medium
54,126,1985,13,7,no,other,yes,no,2.0610239562,trade,sales workers,north east,26,intermediate,high,high
55,126,1986,13,8,no,other,yes,no,1.7822016235,trade,sales workers,north east,27,intermediate,high,medium
56,126,1987,13,9,no,other,yes,no,2.4146815778,trade,"managers, officials and proprietors",north east,28,advanced,high,high
57,150,1980,12,2,no,other,no,no,1.2087353007,business and repair service,operatives and kindred,north east,20,beginner,intermediate,medium
58,150,1981,12,3,no,other,no,no,1.1940396628,business and repair service,operatives and kindred,north east,21,beginner,intermediate,medium
59,150,1982,12,4,no,other,no,no,1.1704405715,business and repair service,operatives and kindred,north east,22,intermediate,intermediate,medium
60,150,1983,12,5,no,other,no,no,1.0979644985,business and repair service,operatives and kindred,north east,23,intermediate,intermediate,medium
61,150,1984,12,6,no,other,no,no,0.7658161885,business and repair service,service workers,north east,24,intermediate,intermediate,medium
62,150,1985,12,7,no,other,no,no,1.119025979,business and repair service,service workers,north east,25,intermediate,intermediate,medium
63,150,1986,12,8,no,other,no,no,1.1193667201,business and repair service,operatives and kindred,north east,26,intermediate,intermediate,medium
64,150,1987,12,9,yes,other,no,no,0.8314595075,business and repair service,service workers,north east,27,advanced,intermediate,medium
65,162,1980,11,2,yes,other,no,no,0.502470152,trade,clerical and kindred,north east,19,beginner,intermediate,medium
66,162,1981,11,3,no,other,no,no,1.0649123702,professional and related service,clerical and kindred,north east,20,beginner,intermediate,medium
67,162,1982,11,4,no,other,no,no,1.1894979432,manufacturing,sales workers,north east,21,intermediate,intermediate,medium
68,162,1983,11,5,no,other,no,no,1.5398885292,trade,laborers and farmers,north east,22,intermediate,intermediate,medium
69,162,1984,11,6,no,other,no,no,1.5982860406,professional and related service,"managers, officials and proprietors",north east,23,intermediate,intermediate,medium
70,162,1985,11,7,no,other,no,no,1.7373206923,trade,"managers, officials and proprietors",north east,24,intermediate,intermediate,medium
71,162,1986,11,8,no,other,no,no,1.9884558505,trade,"managers, officials and proprietors",north east,25,intermediate,intermediate,medium
72,162,1987,11,9,no,other,no,no,2.1586784338,professional and related service,"managers, officials and proprietors",south,26,advanced,intermediate,high
73,166,1980,10,2,yes,other,no,no,1.0052940055,trade,laborers and farmers,north east,18,beginner,intermediate,medium
74,166,1981,10,3,yes,other,no,no,0.9376873709,trade,laborers and farmers,north east,19,beginner,intermediate,medium
75,166,1982,10,4,yes,other,no,no,1.3674877048,trade,laborers and farmers,north east,20,intermediate,intermediate,medium
76,166,1983,10,5,yes,other,no,no,1.3780087815,trade,clerical and kindred,north east,21,intermediate,intermediate,medium
77,166,1984,10,6,yes,other,no,no,1.1701834812,trade,clerical and kindred,north east,22,intermediate,intermediate,medium
78,166,1985,10,7,no,other,no,no,1.7282214484,trade,"craftsmen, foremen and kindred",north east,23,intermediate,intermediate,medium
79,166,1986,10,8,no,other,yes,no,1.7098647498,trade,"managers, officials and proprietors",north east,24,intermediate,intermediate,medium
80,166,1987,10,9,no,other,yes,no,1.8510747855,trade,"craftsmen, foremen and kindred",nothern central,25,advanced,intermediate,medium
81,189,1980,14,2,no,other,no,no,1.1305453358,trade,clerical and kindred,north east,22,beginner,high,medium
82,189,1981,14,3,no,other,no,no,0.8362480242,trade,clerical and kindred,north east,23,beginner,high,medium
83,189,1982,14,4,no,other,no,no,1.4673598138,trade,clerical and kindred,north east,24,intermediate,high,medium
84,189,1983,14,5,no,other,no,no,1.0714836213,trade,sales workers,north east,25,intermediate,high,medium
85,189,1984,14,6,no,other,no,no,1.4459194826,trade,clerical and kindred,north east,26,intermediate,high,medium
86,189,1985,14,7,no,other,no,no,1.6851163479,trade,sales workers,north east,27,intermediate,high,medium
87,189,1986,14,8,no,other,no,no,1.6861749787,manufacturing,clerical and kindred,north east,28,intermediate,high,medium
88,189,1987,14,9,no,other,no,no,1.7551303466,manufacturing,clerical and kindred,north east,29,advanced,high,medium
89,193,1980,14,2,no,other,no,no,1.5656918952,manufacturing,"professional, technical and kindred",north east,22,beginner,high,medium
90,193,1981,14,3,no,other,no,no,2.4938753198,manufacturing,"professional, technical and kindred",north east,23,beginner,high,high
91,193,1982,14,4,no,other,no,no,1.822662074,manufacturing,"professional, technical and kindred",north east,24,intermediate,high,medium
92,193,1983,14,5,no,other,no,no,2.3803360564,manufacturing,"professional, technical and kindred",north east,25,intermediate,high,high
93,193,1984,14,6,no,other,no,no,2.2171284955,manufacturing,"professional, technical and kindred",north east,26,intermediate,high,high
94,193,1985,14,7,no,other,yes,no,2.2720314362,manufacturing,"professional, technical and kindred",north east,27,intermediate,high,high
95,193,1986,14,8,no,other,yes,no,2.3537987319,manufacturing,"professional, technical and kindred",north east,28,intermediate,high,high
96,193,1987,14,9,no,other,yes,no,2.4294500341,manufacturing,"professional, technical and kindred",north east,29,advanced,high,high
97,209,1980,11,3,no,other,no,no,1.9180031958,trade,service workers,north east,20,beginner,intermediate,medium
98,209,1981,11,4,no,other,no,no,0.7654077478,trade,service workers,north east,21,intermediate,intermediate,medium
99,209,1982,11,5,no,other,no,no,1.9781854376,trade,service workers,north east,22,intermediate,intermediate,medium
100,209,1983,11,6,no,other,no,no,1.94855364,trade,service workers,north east,23,intermediate,intermediate,medium
101,209,1984,11,7,no,other,no,no,2.0370259376,entertainment,service workers,north east,24,intermediate,intermediate,high
102,209,1985,11,8,no,other,no,no,1.9025748356,trade,"managers, officials and proprietors",north east,25,intermediate,intermediate,medium
103,209,1986,11,9,no,other,no,no,1.9726036563,trade,"managers, officials and proprietors",north east,26,advanced,intermediate,medium
104,209,1987,11,10,no,other,no,no,2.1869822099,entertainment,"managers, officials and proprietors",north east,27,advanced,intermediate,high
105,212,1980,11,2,no,other,no,no,1.7844718032,manufacturing,"craftsmen, foremen and kindred",north east,19,beginner,intermediate,medium
106,212,1981,11,3,no,other,no,no,2.1799827709,manufacturing,operatives and kindred,north east,20,beginner,intermediate,high
107,212,1982,11,4,yes,other,no,no,1.9638653838,manufacturing,operatives and kindred,north east,21,intermediate,intermediate,medium
108,212,1983,11,5,no,other,no,no,2.044932767,manufacturing,operatives and kindred,north east,22,intermediate,intermediate,high
109,212,1984,11,6,no,other,no,no,2.0128613106,manufacturing,clerical and kindred,north east,23,intermediate,intermediate,high
110,212,1985,11,7,no,other,no,no,2.0969857427,manufacturing,operatives and kindred,north east,24,intermediate,intermediate,high
111,212,1986,11,8,no,other,yes,no,2.1439661499,manufacturing,operatives and kindred,north east,25,intermediate,intermediate,high
112,212,1987,11,9,yes,other,yes,no,2.241284366,manufacturing,operatives and kindred,north east,26,advanced,intermediate,high
113,218,1980,15,2,no,other,no,no,2.0133133756,professional and related service,"professional, technical and kindred",north east,23,beginner,high,high
114,218,1981,15,3,no,other,no,no,1.9621524552,professional and related service,"professional, technical and kindred",north east,24,beginner,high,medium
115,218,1982,15,4,no,other,no,no,2.2756410219,professional and related service,clerical and kindred,north east,25,intermediate,high,high
116,218,1983,15,5,no,other,yes,no,2.1949175631,business and repair service,"professional, technical and kindred",north east,26,intermediate,high,high
117,218,1984,15,6,no,other,yes,no,2.4283372983,professional and related service,"professional, technical and kindred",north east,27,intermediate,high,high
118,218,1985,15,7,no,other,yes,no,2.7230369434,business and repair service,clerical and kindred,north east,28,intermediate,high,high
119,218,1986,15,8,no,other,yes,no,2.9663963196,business and repair service,"managers, officials and proprietors",north east,29,intermediate,high,high
120,218,1987,15,9,no,other,yes,no,3.065051729,business and repair service,"managers, officials and proprietors",north east,30,advanced,high,high
121,243,1980,12,4,no,other,no,no,1.5641813208,transportation,"craftsmen, foremen and kindred",north east,22,intermediate,intermediate,medium
122,243,1981,12,5,no,other,no,no,1.6835458846,transportation,"managers, officials and proprietors",north east,23,intermediate,intermediate,medium
123,243,1982,12,6,no,other,no,yes,1.6905033652,public administration,"managers, officials and proprietors",north east,24,intermediate,intermediate,medium
124,243,1983,12,7,no,other,yes,no,1.6608715675,public administration,"managers, officials and proprietors",north east,25,intermediate,intermediate,medium
125,243,1984,12,8,no,other,yes,no,1.6980505708,public administration,"managers, officials and proprietors",north east,26,intermediate,intermediate,medium
126,243,1985,12,9,no,other,yes,no,1.6717682341,public administration,"managers, officials and proprietors",north east,27,advanced,intermediate,medium
127,243,1986,12,10,no,other,yes,no,1.6357175299,public administration,"managers, officials and proprietors",north east,28,advanced,intermediate,medium
128,243,1987,12,11,no,other,yes,no,1.7869709525,transportation,"managers, officials and proprietors",north east,29,advanced,intermediate,medium
129,259,1980,12,3,yes,other,yes,no,2.1071895765,manufacturing,"craftsmen, foremen and kindred",north east,21,beginner,intermediate,high
130,259,1981,12,4,yes,other,yes,no,2.0890109927,manufacturing,"craftsmen, foremen and kindred",north east,22,intermediate,intermediate,high
131,259,1982,12,5,yes,other,yes,no,2.0427239587,manufacturing,"craftsmen, foremen and kindred",north east,23,intermediate,intermediate,high
132,259,1983,12,6,yes,other,yes,no,1.3081557728,manufacturing,"craftsmen, foremen and kindred",north east,24,intermediate,intermediate,medium
133,259,1984,12,7,no,other,yes,no,1.4881522462,manufacturing,operatives and kindred,north east,25,intermediate,intermediate,medium
134,259,1985,12,8,no,other,yes,no,1.5428182251,construction,operatives and kindred,north east,26,intermediate,intermediate,medium
135,259,1986,12,9,no,other,yes,no,1.5351347212,trade,"craftsmen, foremen and kindred",north east,27,advanced,intermediate,medium
136,259,1987,12,10,no,other,yes,no,1.4543355231,trade,operatives and kindred,north east,28,advanced,intermediate,medium
137,260,1980,11,2,yes,other,no,no,1.6299120417,trade,clerical and kindred,north east,19,beginner,intermediate,medium
138,260,1981,11,3,yes,other,no,no,1.7751130781,trade,laborers and farmers,north east,20,beginner,intermediate,medium
139,260,1982,11,4,no,other,no,no,1.9672563671,manufacturing,operatives and kindred,north east,21,intermediate,intermediate,medium
140,260,1983,11,5,no,other,yes,no,2.0751862909,manufacturing,"professional, technical and kindred",north east,22,intermediate,intermediate,high
141,260,1984,11,6,no,other,yes,no,2.1288334869,manufacturing,"professional, technical and kindred",north east,23,intermediate,intermediate,high
142,260,1985,11,7,no,other,yes,no,2.2684191505,manufacturing,"professional, technical and kindred",north east,24,intermediate,intermediate,high
143,260,1986,11,8,no,other,yes,no,1.9921390959,manufacturing,operatives and kindred,north east,25,intermediate,intermediate,medium
144,260,1987,11,9,no,other,yes,no,2.4215544571,manufacturing,"craftsmen, foremen and kindred",north east,26,advanced,intermediate,high
145,309,1980,12,3,no,other,no,no,1.7860756528,business and repair service,operatives and kindred,south,21,beginner,intermediate,medium
146,309,1981,12,4,no,other,no,no,2.2807660456,business and repair service,operatives and kindred,north east,22,intermediate,intermediate,high
147,309,1982,12,5,no,other,no,no,2.2642662287,business and repair service,operatives and kindred,north east,23,intermediate,intermediate,high
148,309,1983,12,6,no,other,yes,no,2.2754564256,business and repair service,"craftsmen, foremen and kindred",north east,24,intermediate,intermediate,high
149,309,1984,12,7,no,other,yes,no,2.2081324236,business and repair service,operatives and kindred,north east,25,intermediate,intermediate,high
150,309,1985,12,8,no,other,yes,no,2.1998524173,business and repair service,"craftsmen, foremen and kindred",north east,26,intermediate,intermediate,high
151,309,1986,12,9,no,other,yes,yes,2.2068999835,business and repair service,operatives and kindred,north east,27,advanced,intermediate,high
152,309,1987,12,10,no,other,yes,no,2.476866911,manufacturing,operatives and kindred,north east,28,advanced,intermediate,high
153,351,1980,12,3,no,other,no,no,1.643386879,finance,clerical and kindred,north east,21,beginner,intermediate,medium
154,351,1981,12,4,no,other,no,no,1.3355804258,finance,clerical and kindred,north east,22,intermediate,intermediate,medium
155,351,1982,12,5,no,other,yes,yes,1.5228178362,finance,clerical and kindred,north east,23,intermediate,intermediate,medium
156,351,1983,12,6,no,other,yes,no,1.4188513626,finance,clerical and kindred,north east,24,intermediate,intermediate,medium
157,351,1984,12,7,no,other,yes,yes,0.9039274729,finance,clerical and kindred,north east,25,intermediate,intermediate,medium
158,351,1985,12,8,no,other,yes,no,1.8885640985,transportation,clerical and kindred,north east,26,intermediate,intermediate,medium
159,351,1986,12,9,no,other,yes,no,1.7834496472,professional and related service,"professional, technical and kindred",north east,27,advanced,intermediate,medium
160,351,1987,12,10,no,other,yes,no,1.6980083554,professional and related service,"professional, technical and kindred",north east,28,advanced,intermediate,medium
161,353,1980,12,3,no,other,no,no,1.8381972025,manufacturing,operatives and kindred,north east,21,beginner,intermediate,medium
162,353,1981,12,4,yes,other,no,no,1.8170772772,manufacturing,operatives and kindred,north east,22,intermediate,intermediate,medium
163,353,1982,12,5,no,other,no,no,1.6717402666,trade,"craftsmen, foremen and kindred",north east,23,intermediate,intermediate,medium
164,353,1983,12,6,no,other,no,no,1.5728305011,manufacturing,operatives and kindred,north east,24,intermediate,intermediate,medium
165,353,1984,12,7,no,other,no,no,1.6825463843,manufacturing,"craftsmen, foremen and kindred",north east,25,intermediate,intermediate,medium
166,353,1985,12,8,no,other,no,no,1.5836402196,construction,"craftsmen, foremen and kindred",north east,26,intermediate,intermediate,medium
167,353,1986,12,9,no,other,no,no,1.7732931875,manufacturing,"craftsmen, foremen and kindred",north east,27,advanced,intermediate,medium
168,353,1987,12,10,no,other,no,no,1.8610789246,business and repair service,"craftsmen, foremen and kindred",north east,28,advanced,intermediate,medium
169,383,1980,12,2,no,black,no,no,1.4628881791,manufacturing,operatives and kindred,north east,20,beginner,intermediate,medium
170,383,1981,12,3,no,black,no,no,1.5702171993,manufacturing,operatives and kindred,north east,21,beginner,intermediate,medium
171,383,1982,12,4,yes,black,no,no,1.6566018135,manufacturing,operatives and kindred,north east,22,intermediate,intermediate,medium
172,383,1983,12,5,no,black,no,no,1.7254100887,manufacturing,clerical and kindred,north east,23,intermediate,intermediate,medium
173,383,1984,12,6,no,black,no,no,1.7721585429,manufacturing,clerical and kindred,north east,24,intermediate,intermediate,medium
174,383,1985,12,7,no,black,no,no,2.0110842344,manufacturing,"craftsmen, foremen and kindred",north east,25,intermediate,intermediate,high
175,383,1986,12,8,no,black,no,no,1.9910166714,manufacturing,"craftsmen, foremen and kindred",north east,26,intermediate,intermediate,medium
176,383,1987,12,9,no,black,no,no,1.9520507029,manufacturing,"craftsmen, foremen and kindred",north east,27,advanced,intermediate,medium
177,408,1980,11,2,no,other,no,no,1.6520949229,manufacturing,"craftsmen, foremen and kindred",north east,19,beginner,intermediate,medium
178,408,1981,11,3,no,other,yes,no,1.4895349843,manufacturing,operatives and kindred,north east,20,beginner,intermediate,medium
179,408,1982,11,4,no,other,yes,no,1.8811757012,manufacturing,"craftsmen, foremen and kindred",north east,21,intermediate,intermediate,medium
180,408,1983,11,5,no,other,yes,no,2.0610316234,manufacturing,"craftsmen, foremen and kindred",north east,22,intermediate,intermediate,high
181,408,1984,11,6,yes,other,yes,no,2.4888362209,manufacturing,"craftsmen, foremen and kindred",north east,23,intermediate,intermediate,high
182,408,1985,11,7,yes,other,yes,no,2.43093808,manufacturing,"craftsmen, foremen and kindred",north east,24,intermediate,intermediate,high
183,408,1986,11,8,yes,other,yes,no,2.5345603867,manufacturing,"craftsmen, foremen and kindred",north east,25,intermediate,intermediate,high
184,408,1987,11,9,yes,other,yes,no,2.0696025092,manufacturing,"craftsmen, foremen and kindred",north east,26,advanced,intermediate,high
185,424,1980,12,5,no,other,yes,no,2.1658393597,manufacturing,"craftsmen, foremen and kindred",north east,23,intermediate,intermediate,high
186,424,1981,12,6,no,other,yes,no,2.3253997708,manufacturing,"craftsmen, foremen and kindred",north east,24,intermediate,intermediate,high
187,424,1982,12,7,no,other,yes,no,2.3836505457,manufacturing,"craftsmen, foremen and kindred",north east,25,intermediate,intermediate,high
188,424,1983,12,8,no,other,yes,no,2.3372116298,manufacturing,operatives and kindred,north east,26,intermediate,intermediate,high
189,424,1984,12,9,no,other,yes,no,2.4125075379,manufacturing,"craftsmen, foremen and kindred",north east,27,advanced,intermediate,high
190,424,1985,12,10,no,other,yes,no,2.3841459185,manufacturing,"craftsmen, foremen and kindred",north east,28,advanced,intermediate,high
191,424,1986,12,11,no,other,yes,no,2.3520300169,manufacturing,"craftsmen, foremen and kindred",north east,29,advanced,intermediate,high
192,424,1987,12,12,no,other,yes,no,2.5777566026,manufacturing,"craftsmen, foremen and kindred",north east,30,advanced,intermediate,high
193,464,1980,13,2,no,other,no,no,0.9726262551,trade,"managers, officials and proprietors",north east,21,beginner,high,medium
194,464,1981,13,3,no,other,no,no,1.0031044999,trade,sales workers,north east,22,beginner,high,medium
195,464,1982,13,4,no,other,yes,no,1.0996350337,trade,"managers, officials and proprietors",north east,23,intermediate,high,medium
196,464,1983,13,5,no,other,yes,no,1.2145844649,trade,clerical and kindred,north east,24,intermediate,high,medium
197,464,1984,13,6,no,other,yes,no,1.3192417615,trade,operatives and kindred,north east,25,intermediate,high,medium
198,464,1985,13,7,no,other,yes,no,1.3897424827,trade,sales workers,north east,26,intermediate,high,medium
199,464,1986,13,8,no,other,yes,no,1.5735380116,trade,sales workers,north east,27,intermediate,high,medium
200,464,1987,13,9,no,other,yes,no,1.9006997178,trade,sales workers,north east,28,advanced,high,medium
201,483,1980,12,5,no,other,no,no,1.6826270761,manufacturing,"craftsmen, foremen and kindred",nothern central,23,intermediate,intermediate,medium
202,483,1981,12,6,no,other,no,no,1.661706341,manufacturing,"managers, officials and proprietors",nothern central,24,intermediate,intermediate,medium
203,483,1982,12,7,no,other,no,no,1.7550418863,manufacturing,"craftsmen, foremen and kindred",nothern central,25,intermediate,intermediate,medium
204,483,1983,12,8,yes,other,no,no,1.7534507488,manufacturing,laborers and farmers,nothern central,26,intermediate,intermediate,medium
205,483,1984,12,9,no,other,no,no,1.6180078631,manufacturing,operatives and kindred,nothern central,27,advanced,intermediate,medium
206,483,1985,12,10,no,other,no,no,1.6481787408,manufacturing,clerical and kindred,nothern central,28,advanced,intermediate,medium
207,483,1986,12,11,no,other,no,no,1.7458942134,manufacturing,operatives and kindred,nothern central,29,advanced,intermediate,medium
208,483,1987,12,12,no,other,no,no,1.7270818953,manufacturing,operatives and kindred,nothern central,30,advanced,intermediate,medium
209,556,1980,14,2,no,other,no,no,1.9393454693,trade,service workers,nothern central,22,beginner,high,medium
210,556,1981,14,3,no,other,no,no,2.1202635362,transportation,"professional, technical and kindred",nothern central,23,beginner,high,high
211,556,1982,14,4,no,other,no,no,2.1605069944,transportation,"professional, technical and kindred",nothern central,24,intermediate,high,high
212,556,1983,14,5,no,other,no,no,2.4892541145,transportation,"managers, officials and proprietors",nothern central,25,intermediate,high,high
213,556,1984,14,6,no,other,no,no,2.3756935648,transportation,"professional, technical and kindred",nothern central,26,intermediate,high,high
214,556,1985,14,7,no,other,no,no,2.2958867101,transportation,"managers, officials and proprietors",nothern central,27,intermediate,high,high
215,556,1986,14,8,no,other,no,no,2.2990901592,transportation,"professional, technical and kindred",nothern central,28,intermediate,high,high
216,556,1987,14,9,no,other,no,no,2.5818793647,transportation,"managers, officials and proprietors",nothern central,29,advanced,high,high
217,560,1980,12,2,no,other,no,no,1.3868473056,transportation,service workers,south,20,beginner,intermediate,medium
218,560,1981,12,3,no,other,no,no,2.127581917,transportation,service workers,south,21,beginner,intermediate,high
219,560,1982,12,4,no,other,no,no,0.9688702001,transportation,service workers,south,22,intermediate,intermediate,medium
220,560,1983,12,5,no,other,no,no,1.1635989102,trade,sales workers,south,23,intermediate,intermediate,medium
221,560,1984,12,6,no,other,no,no,1.3566190608,entertainment,"professional, technical and kindred",south,24,intermediate,intermediate,medium
222,560,1985,12,7,no,other,no,no,1.4162533501,business and repair service,"managers, officials and proprietors",south,25,intermediate,intermediate,medium
223,560,1986,12,8,yes,other,no,no,1.2149831968,transportation,"managers, officials and proprietors",south,26,intermediate,intermediate,medium
224,560,1987,12,9,no,other,no,no,1.6393594638,entertainment,"professional, technical and kindred",south,27,advanced,intermediate,medium
225,569,1980,12,2,no,other,no,no,0.683725042,trade,"managers, officials and proprietors",nothern central,20,beginner,intermediate,medium
226,569,1981,12,3,no,other,no,no,1.0789890175,trade,sales workers,nothern central,21,beginner,intermediate,medium
227,569,1982,12,4,no,other,no,no,0.8396357188,trade,"managers, officials and proprietors",nothern central,22,intermediate,intermediate,medium
228,569,1983,12,5,no,other,no,no,1.5075690323,trade,sales workers,nothern central,23,intermediate,intermediate,medium
229,569,1984,12,6,no,other,no,no,1.0206517472,manufacturing,"managers, officials and proprietors",nothern central,24,intermediate,intermediate,medium
230,569,1985,12,7,no,other,no,no,0.5425977828,trade,sales workers,nothern central,25,intermediate,intermediate,medium
231,569,1986,12,8,no,other,no,no,0.1147163143,trade,sales workers,nothern central,26,intermediate,intermediate,medium
232,569,1987,12,9,no,other,no,no,0.3128517433,trade,"professional, technical and kindred",nothern central,27,advanced,intermediate,medium
233,583,1980,12,4,no,other,no,no,1.6267721601,trade,"managers, officials and proprietors",nothern central,22,intermediate,intermediate,medium
234,583,1981,12,5,no,other,no,no,1.8808750027,manufacturing,"craftsmen, foremen and kindred",nothern central,23,intermediate,intermediate,medium
235,583,1982,12,6,yes,other,no,no,1.7411964795,manufacturing,"craftsmen, foremen and kindred",nothern central,24,intermediate,intermediate,medium
236,583,1983,12,7,yes,other,no,no,2.1947885225,manufacturing,operatives and kindred,nothern central,25,intermediate,intermediate,high
237,583,1984,12,8,no,other,yes,no,2.083836121,manufacturing,"craftsmen, foremen and kindred",nothern central,26,intermediate,intermediate,high
238,583,1985,12,9,no,other,yes,no,1.9184481847,manufacturing,"craftsmen, foremen and kindred",nothern central,27,advanced,intermediate,medium
239,583,1986,12,10,no,other,yes,no,2.1567136329,manufacturing,"craftsmen, foremen and kindred",nothern central,28,advanced,intermediate,high
240,583,1987,12,11,no,other,no,no,1.9850408663,manufacturing,"craftsmen, foremen and kindred",nothern central,29,advanced,intermediate,medium
241,647,1980,12,2,yes,other,no,no,1.3967062722,manufacturing,operatives and kindred,nothern central,20,beginner,intermediate,medium
